,Salario mensual (Q),Edad (años),Antigüedad (años),Horas semanales
Salario mensual (Q),1.0,0.14724925920743281,0.17957441272782337,0.07566511338027683
Edad (años),0.14724925920743281,1.0,0.4867127558821621,-0.10537763199204006
Antigüedad (años),0.17957441272782337,0.4867127558821621,1.0,-0.06225560910147325
Horas semanales,0.07566511338027683,-0.10537763199204006,-0.06225560910147325,1.0
