configuracion,numTrees,maxDepth,mae_entrenamiento,rmse_entrenamiento,r2_entrenamiento,mae_validacion,rmse_validacion,r2_validacion,seleccionada
arboles_20_prof_5,20,5,1179.8095337285022,2205.825195248528,0.42396114127054596,1163.1624963717125,2163.871945768874,0.43745903230288197,False
arboles_50_prof_5,50,5,1183.5134677991214,2197.5336365912367,0.4282835899988836,1163.2056274356783,2160.983748679296,0.43895971712560455,False
arboles_50_prof_10,50,10,1071.080446994165,1923.1545927603224,0.5621372623279148,1079.1027824174384,1985.5311486801513,0.5263642752378006,False
arboles_50_prof_15,50,15,987.7078905511634,1768.2009682465239,0.6298541850530891,1044.003741960694,1914.2296833144153,0.5597705056025906,False
arboles_50_prof_20,50,20,944.4327591930505,1720.9152176375824,0.6493865717686245,1028.4632312144597,1896.387835338256,0.5679387032414229,False
arboles_100_prof_20,100,20,944.5964391469109,1730.3525792893167,0.6455305555443678,1026.6949376434325,1892.5259067866878,0.5696966673181927,True
arboles_50_prof_25,50,25,935.9239521058521,1713.398569363988,0.652442715655054,1025.4923224021773,1893.617562511034,0.5692001049468589,False
