cluster,nombre,edad_z,edad,antiguedad_z,antiguedad,horas_semanales_z,horas_semanales
0,Mayores,0.9859804737960595,48.51899230889977,-0.19148835177704726,4.059279024747557,-0.36557316715885574,39.49662533354277
1,Jornada larga,-0.3433247688271775,30.545586917562737,-0.26482577909624366,3.4849723715651164,1.5272412859269102,74.76052867383495
2,Jóvenes,-0.6929755960292434,25.817992486115628,-0.4012720753020981,2.41645908199936,-0.2876052362044392,40.94919960797142
3,"Mayores, antigüedad alta",1.0880190380871086,49.898645696810796,2.1305751731632796,22.24339837871935,-0.28166592116536926,41.059851463521156
