configuracion,regParam,elasticNetParam,mae_entrenamiento,rmse_entrenamiento,r2_entrenamiento,mae_validacion,rmse_validacion,r2_validacion,seleccionada
sin_regularizacion,0.0,0.0,1237.790468284294,2245.292687892121,0.40316330148867463,1210.1374804326147,2186.4195786682276,0.42567455403897614,True
ridge_0.1,0.1,0.0,1237.786617924697,2245.2926883193873,0.40316330126152544,1210.1327374449245,2186.420864951006,0.4256738782810796,False
ridge_1.0,1.0,0.0,1237.7521434930954,2245.2927305927283,0.40316327878758984,1210.090188464554,2186.432420518682,0.425667807462774,False
lasso_0.1,0.1,1.0,1237.7468711990646,2245.29272128719,0.40316328373472843,1210.085191467289,2186.4282531251374,0.42566999684303397,False
elasticnet_0.1_0.5,0.1,0.5,1237.765696950781,2245.292698301392,0.40316329595475453,1210.1070221281195,2186.424784949299,0.4256718188793688,False
