modelo,mae,rmse,r2,n
referencia (media de entrenamiento),1672.5026056435038,2889.5714322659232,-0.003131603852470688,12664.0
regresión lineal (sin_regularizacion),1210.1374804326147,2186.4195786682276,0.42567455403897614,12664.0
random forest (arboles_100_prof_20),1026.6949376434325,1892.5259067866878,0.5696966673181927,12664.0
